Zipcode,City,County,State,Country,Timezone
87102-3104,Albuquerque,Bernalillo,NM,US,US/Mountain
87109-2312,Albuquerque,Bernalillo,NM,US,US/Mountain
88343,Picacho,Lincoln,NM,US,US/Mountain
79901-2240,El Paso,El Paso,TX,US,US/Mountain
79902-4107,El Paso,El Paso,TX,US,US/Mountain
79904-1102,El Paso,El Paso,TX,US,US/Mountain
79905-2506,El Paso,El Paso,TX,US,US/Mountain
79924-4701,El Paso,El Paso,TX,US,US/Mountain
79925-4307,El Paso,El Paso,TX,US,US/Mountain
79936-2632,El Paso,El Paso,TX,US,US/Mountain
79936-3754,El Paso,El Paso,TX,US,US/Mountain
80020-3505,Broomfield,Broomfield,CO,US,US/Mountain
80112-4009,Englewood,Arapahoe,CO,US,US/Mountain
80123-6685,Littleton,Arapahoe,CO,US,US/Mountain
80204-2609,Denver,Denver,CO,US,US/Mountain
80204-4425,Denver,Denver,CO,US,US/Mountain
80210-3902,Denver,Denver,CO,US,US/Mountain
80210-6025,Denver,Denver,CO,US,US/Mountain
80216-4532,Denver,Denver,CO,US,US/Mountain
80223-3204,Denver,Denver,CO,US,US/Mountain
80232-7254,Lakewood,Jefferson,CO,US,US/Mountain
80233-2808,Thornton,Adams,CO,US,US/Mountain
80238-2829,Denver,Denver,CO,US,US/Mountain
80498,Silverthorne,Eagle,CO,US,US/Mountain
80512,Bellvue,Larimer,CO,US,US/Mountain
80517-8856,Estes Park,Larimer,CO,US,US/Mountain
80621-9310,Fort Lupton,Weld,CO,US,US/Mountain
80631-9644,Greeley,Weld,CO,US,US/Mountain
80651-8323,Platteville,Weld,CO,US,US/Mountain
80754,Stoneham,Weld,CO,US,US/Mountain
80906-4947,Colorado Springs,El Paso,CO,US,US/Mountain
81154-9424,South Fork,Mineral,CO,US,US/Mountain
81324-9413,Dove Creek,Dolores,CO,US,US/Mountain
83655,New Plymouth,Payette,ID,US,US/Mountain
84020-8463,Draper,Salt Lake,UT,US,US/Mountain
84037-1919,Kaysville,Davis,UT,US,US/Mountain
84096-6422,Riverton,Salt Lake,UT,US,US/Mountain
84103-1313,Salt Lake City,Salt Lake,UT,US,US/Mountain
84115-3635,Salt Lake City,Salt Lake,UT,US,US/Mountain
84116-2952,Salt Lake City,Salt Lake,UT,US,US/Mountain
84309-9719,Deweyville,Box Elder,UT,US,US/Mountain
84403-0827,Ogden,Weber,UT,US,US/Mountain
84403-3103,Ogden,Weber,UT,US,US/Mountain
84404-5401,Ogden,Weber,UT,US,US/Mountain
84627-1104,Ephraim,Sanpete,UT,US,US/Mountain
84648-1411,Nephi,Juab,UT,US,US/Mountain
84660,Spanish Fork,Utah,UT,US,US/Mountain
85007-4028,Phoenix,Maricopa,AZ,US,US/Mountain
85009-2040,Phoenix,Maricopa,AZ,US,US/Mountain
